img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F6-camacani_10,P3141687.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,772.0,3138.0,3374501.0,,140.81:135.71:61.61,74.44:66.16:50.29
F6-camacani_10,P3141492.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,647.0,3059.0,2935068.0,,98.52:78.25:54.2,57.65:50.09:36.15
F6-camacani_10,P3141651.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1110.0,3165.0,6204015.0,,145.87:120.14:70.84,69.69:63.97:50.0
F6-camacani_10,P3141481.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,852.0,3198.0,3796180.0,,111.08:92.18:66.61,67.28:61.6:46.82
F6-camacani_10,P3141469.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1416.0,2534.0,5400487.0,,86.7:79.73:45.48,75.93:66.97:47.11
F6-camacani_10,P3141540.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1018.0,2831.0,5079239.0,,113.57:107.51:53.0,58.05:50.37:36.29
F6-camacani_10,P3141559.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,861.0,3402.0,4501848.0,,79.38:57.73:52.28,68.37:57.93:52.15
F6-camacani_10,P3141503.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1147.0,2867.0,5447260.0,,111.55:90.37:56.93,74.32:64.26:46.91
F6-camacani_10,P3141541.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,965.0,3260.0,5526731.0,,114.84:81.74:62.38,62.94:56.14:44.07
F6-camacani_10,P3141536.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,727.0,3015.0,3572129.0,,83.34:88.03:41.87,60.46:55.75:37.45
F6-camacani_10,P3141627.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,994.0,3206.0,5645798.0,,92.02:95.39:53.4,73.36:68.42:47.63
F6-camacani_10,P3141475.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1020.0,3273.0,5896477.0,,83.94:64.96:49.05,73.12:60.71:47.27
F6-camacani_10,P3141497.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1014.0,3442.0,5915378.0,,91.04:79.41:47.1,68.87:60.75:43.55
F6-camacani_10,P3141495.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1346.0,2938.0,6567518.0,,106.48:94.0:63.82,76.45:65.85:54.01
F6-camacani_10,P3141880.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1019.0,3146.0,5996865.0,,102.97:97.92:47.89,71.85:63.87:43.53
F6-camacani_10,P3141421.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1104.0,3141.0,5382143.0,,146.0:82.75:54.95,80.02:68.14:52.18
F6-camacani_10,P3141876.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1618.0,3043.0,7400162.0,,110.94:111.52:55.65,73.65:66.36:50.54
F6-camacani_10,P3141454.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1061.0,2905.0,5177326.0,,86.64:96.69:50.05,72.51:68.73:54.44
