folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_5,_DSC0805(3).jpg,x,
F6-camacani_5,_DSC0903(3).jpg,x,
F6-camacani_5,_DSC0789(3).jpg,x,
F6-camacani_5,_DSC0773(3).jpg,x,
F6-camacani_5,_DSC0950(2).jpg,x,
F6-camacani_5,_DSC0806(2).jpg,x,
F6-camacani_5,_DSC0932(2).jpg,x,
F6-camacani_5,_DSC0925(2).jpg,x,
F6-camacani_5,_DSC0952(3).jpg,x,
F6-camacani_5,_DSC0760(3).jpg,x,
F6-camacani_5,_DSC0791(2).jpg,x,
F6-camacani_5,_DSC0826(2).jpg,x,
F6-camacani_5,_DSC0892(3).jpg,x,
F6-camacani_5,_DSC0904(3).jpg,x,
F6-camacani_5,_DSC0956(2).jpg,x,
F6-camacani_5,_DSC0809(2).jpg,x,
F6-camacani_5,_DSC0769(2).jpg,x,
F6-camacani_5,_DSC0940(2).jpg,x,
F6-camacani_5,_DSC0841(3).jpg,x,
F6-camacani_5,_DSC0795(3).jpg,x,
F6-camacani_5,_DSC0897(2).jpg,x,
F6-camacani_5,_DSC0872(3).jpg,x,
F6-camacani_5,_DSC0819(2).jpg,x,
F6-camacani_5,_DSC0846(3).jpg,x,
F6-camacani_5,_DSC0824(2).jpg,x,
F6-camacani_5,_DSC0860(2).jpg,x,
F6-camacani_5,_DSC0796(3).jpg,x,
F6-camacani_5,_DSC0790(2).jpg,x,
F6-camacani_5,_DSC0764(2).jpg,x,
F6-camacani_5,_DSC0822(3).jpg,x,
F6-camacani_5,_DSC0854(2).jpg,x,
F6-camacani_5,_DSC0746(2).jpg,x,
F6-camacani_5,_DSC0781(2).jpg,x,
F6-camacani_5,_DSC0880(2).jpg,x,
F6-camacani_5,_DSC0759(2).jpg,x,
F6-camacani_5,_DSC0872(2).jpg,x,
F6-camacani_5,_DSC0931(2).jpg,x,
F6-camacani_5,_DSC0871(2).jpg,x,
F6-camacani_5,_DSC0949(3).jpg,x,
F6-camacani_5,_DSC0768(3).jpg,x,
F6-camacani_5,_DSC0900(3).jpg,x,
F6-camacani_5,_DSC0910(2).jpg,x,
F6-camacani_5,_DSC0860(3).jpg,x,
F6-camacani_5,_DSC0867(3).jpg,x,
F6-camacani_5,_DSC0856(3).jpg,x,
F6-camacani_5,_DSC0774(2).jpg,x,
F6-camacani_5,_DSC0888(3).jpg,x,
F6-camacani_5,_DSC0851(2).jpg,x,
F6-camacani_5,_DSC0863(2).jpg,x,
F6-camacani_5,_DSC0879(2).jpg,x,
F6-camacani_5,_DSC0951(3).jpg,x,
F6-camacani_5,_DSC0901(2).jpg,x,
F6-camacani_5,_DSC0912(2).jpg,x,
