folder,imgname,no_ruler_detected,no_panicles_detected
F7-illpa_2,IMG_20180313_153226.jpg,x,
F7-illpa_2,IMG_20180313_153645.jpg,x,
F7-illpa_2,IMG_20180313_143701.jpg,x,
F7-illpa_2,IMG_20180313_143250.jpg,x,
F7-illpa_2,IMG_20180313_150342.jpg,x,
F7-illpa_2,IMG_20180313_144616.jpg,x,
F7-illpa_2,IMG_20180313_145849.jpg,x,
F7-illpa_2,IMG_20180313_153044.jpg,x,
F7-illpa_2,IMG_20180313_151721.jpg,x,
F7-illpa_2,IMG_20180313_153053.jpg,x,
F7-illpa_2,IMG_20180313_153638.jpg,x,
F7-illpa_2,IMG_20180313_153826.jpg,x,
F7-illpa_2,IMG_20180313_152912.jpg,x,
F7-illpa_2,IMG_20180313_145921.jpg,x,
F7-illpa_2,IMG_20180313_150222.jpg,x,
F7-illpa_2,IMG_20180313_150933.jpg,x,
F7-illpa_2,IMG_20180313_150356.jpg,x,
F7-illpa_2,IMG_20180313_151743.jpg,x,
F7-illpa_2,IMG_20180313_151028.jpg,x,
F7-illpa_2,IMG_20180313_143918.jpg,x,
F7-illpa_2,IMG_20180313_144740.jpg,x,
F7-illpa_2,IMG_20180313_145016.jpg,x,
F7-illpa_2,IMG_20180313_145725.jpg,x,
F7-illpa_2,IMG_20180313_143315.jpg,x,
F7-illpa_2,IMG_20180313_145557.jpg,x,
F7-illpa_2,IMG_20180313_150655.jpg,x,
F7-illpa_2,IMG_20180313_151003.jpg,x,
F7-illpa_2,IMG_20180313_150443.jpg,x,
F7-illpa_2,IMG_20180313_151038.jpg,x,
F7-illpa_2,IMG_20180313_143322.jpg,x,
F7-illpa_2,IMG_20180313_152539.jpg,x,
F7-illpa_2,IMG_20180313_143524.jpg,x,
F7-illpa_2,IMG_20180313_152620.jpg,x,
F7-illpa_2,IMG_20180313_152642.jpg,x,
F7-illpa_2,IMG_20180313_150001.jpg,x,
F7-illpa_2,IMG_20180313_153732.jpg,x,
F7-illpa_2,IMG_20180313_145753.jpg,x,
F7-illpa_2,IMG_20180313_152851.jpg,x,
F7-illpa_2,IMG_20180313_144157.jpg,x,
F7-illpa_2,IMG_20180313_150606.jpg,x,
F7-illpa_2,IMG_20180313_151411.jpg,x,
F7-illpa_2,IMG_20180313_154102.jpg,x,
F7-illpa_2,IMG_20180313_143158.jpg,x,
F7-illpa_2,IMG_20180313_143441.jpg,x,
F7-illpa_2,IMG_20180313_143607.jpg,x,
F7-illpa_2,IMG_20180313_153432.jpg,x,
F7-illpa_2,IMG_20180313_153846.jpg,x,
F7-illpa_2,IMG_20180313_150409.jpg,x,
F7-illpa_2,IMG_20180313_153217.jpg,x,
F7-illpa_2,IMG_20180313_144932.jpg,x,
F7-illpa_2,IMG_20180313_152815.jpg,x,
F7-illpa_2,IMG_20180313_152443.jpg,x,
F7-illpa_2,IMG_20180313_143926.jpg,x,
F7-illpa_2,IMG_20180313_150905.jpg,x,
F7-illpa_2,IMG_20180313_144731.jpg,x,
F7-illpa_2,IMG_20180313_142749.jpg,x,
F7-illpa_2,IMG_20180313_153133.jpg,x,
F7-illpa_2,IMG_20180313_143843.jpg,x,
F7-illpa_2,IMG_20180313_153853.jpg,x,
F7-illpa_2,IMG_20180313_145006.jpg,x,
F7-illpa_2,IMG_20180313_143741.jpg,x,
F7-illpa_2,IMG_20180313_144646.jpg,x,
F7-illpa_2,IMG_20180313_153725.jpg,x,
F7-illpa_2,IMG_20180313_150018.jpg,x,
F7-illpa_2,IMG_20180313_153211.jpg,x,
F7-illpa_2,IMG_20180313_152358.jpg,x,
F7-illpa_2,IMG_20180313_152945.jpg,x,
F7-illpa_2,IMG_20180313_143458.jpg,x,
F7-illpa_2,IMG_20180313_145223.jpg,x,
F7-illpa_2,IMG_20180313_145117.jpg,x,
F7-illpa_2,IMG_20180313_145800.jpg,x,
F7-illpa_2,IMG_20180313_151736.jpg,x,
F7-illpa_2,IMG_20180313_144225.jpg,x,
F7-illpa_2,IMG_20180313_154131.jpg,x,
F7-illpa_2,IMG_20180313_143814.jpg,x,
F7-illpa_2,IMG_20180313_143747.jpg,x,
F7-illpa_2,IMG_20180313_152611.jpg,x,
F7-illpa_2,IMG_20180313_145710.jpg,x,
F7-illpa_2,IMG_20180313_144122.jpg,x,
F7-illpa_2,IMG_20180313_143236.jpg,x,
F7-illpa_2,IMG_20180313_152547.jpg,x,
F7-illpa_2,IMG_20180313_152635.jpg,x,
F7-illpa_2,IMG_20180313_144147.jpg,x,
F7-illpa_2,IMG_20180313_150623.jpg,x,
F7-illpa_2,IMG_20180313_145058.jpg,x,
F7-illpa_2,IMG_20180313_150925.jpg,x,
F7-illpa_2,IMG_20180313_143937.jpg,x,
F7-illpa_2,IMG_20180313_145657.jpg,x,
F7-illpa_2,IMG_20180313_144409.jpg,x,
F7-illpa_2,IMG_20180313_145146.jpg,x,
F7-illpa_2,IMG_20180313_143352.jpg,x,
F7-illpa_2,IMG_20180313_151502.jpg,x,
F7-illpa_2,IMG_20180313_151435.jpg,x,
F7-illpa_2,IMG_20180313_150428.jpg,x,
F7-illpa_2,IMG_20180313_144352.jpg,x,
