img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F7-illpa_4,IMG_20180313_173712.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,635.0,2491.0,2578986.0,,51.8:49.99:52.47,39.34:38.68:37.69
F7-illpa_4,IMG_20180314_160301.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,587.0,1872.0,1825093.0,,127.61:142.77:78.75,54.07:48.79:39.41
F7-illpa_4,IMG_20180314_160743.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,569.0,2282.0,2011542.0,,75.04:123.97:102.12,43.67:44.93:44.53
F7-illpa_4,IMG_20180314_161114.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,941.0,2400.0,3287466.0,,102.79:116.12:75.68,56.73:54.57:48.96
F7-illpa_4,IMG_20180314_160324.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,807.0,2381.0,3164314.0,,123.5:120.7:108.87,56.15:54.59:53.64
F7-illpa_4,IMG_20180314_160808.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,739.0,2428.0,3319683.0,,114.49:126.8:82.91,59.24:50.65:42.25
F7-illpa_4,IMG_20180313_173953.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,836.0,2461.0,2791248.0,,116.76:119.65:118.78,41.03:39.59:40.53
F7-illpa_4,IMG_20180314_155333.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,1247.0,2509.0,4864224.0,,134.68:91.5:115.99,59.07:59.22:56.6
F7-illpa_4,IMG_20180314_160549.jpg,NA,2560:1920,,,,,,,,,,,2.0,1.0,819.0,2418.0,3455775.0,,114.23:126.59:69.24,52.98:47.59:37.12
F7-illpa_4,IMG_20180314_160549.jpg,NA,2560:1920,,,,,,,,,,,2.0,2.0,371.0,1214.0,941347.0,,112.22:137.98:85.21,44.01:41.36:34.18
F7-illpa_4,IMG_20180314_155628.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,938.0,2520.0,3379648.0,,111.21:140.76:102.97,55.04:54.27:50.29
F7-illpa_4,IMG_20180313_173127.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,564.0,2395.0,2175288.0,,74.82:77.28:78.34,39.11:37.8:40.56
F7-illpa_4,IMG_20180314_155611.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,999.0,2515.0,4057599.0,,113.3:112.4:111.75,55.32:51.42:52.25
F7-illpa_4,IMG_20180314_160911.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,722.0,2560.0,3271798.0,,111.89:132.45:90.45,50.05:48.24:42.54
F7-illpa_4,IMG_20180313_173110.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,1202.0,2361.0,4842108.0,,75.35:78.62:71.69,47.92:45.1:43.73
F7-illpa_4,IMG_20180313_173934.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,682.0,2182.0,2049136.0,,93.59:95.58:104.24,42.39:42.21:45.53
F7-illpa_4,IMG_20180313_173523.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,473.0,2499.0,1767466.0,,93.56:91.62:95.88,37.4:33.9:37.8
F7-illpa_4,IMG_20180314_155931.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,686.0,2509.0,2266431.0,,134.1:109.61:126.36,56.72:55.23:55.83
F7-illpa_4,IMG_20180314_160801.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,677.0,2535.0,3091829.0,,125.08:127.27:67.48,58.89:53.4:42.7
F7-illpa_4,IMG_20180314_155354.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,412.0,2560.0,1633948.0,,111.07:111.19:101.53,53.55:52.39:55.07
F7-illpa_4,IMG_20180314_161150.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,802.0,2139.0,2571159.0,,131.69:127.87:78.42,54.59:47.69:43.11
F7-illpa_4,IMG_20180314_155227.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,530.0,2231.0,2087280.0,,119.73:100.86:112.77,61.56:60.89:52.21
F7-illpa_4,IMG_20180314_154929.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,596.0,2554.0,2681964.0,,121.74:115.56:112.09,57.13:57.82:55.93
F7-illpa_4,IMG_20180314_154800.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,1000.0,2408.0,4308712.0,,82.92:55.3:75.89,43.02:39.88:39.92
F7-illpa_4,IMG_20180313_173532.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,501.0,2387.0,1910194.0,,120.84:95.77:98.84,56.55:60.93:51.66
F7-illpa_4,IMG_20180314_161107.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,1187.0,2351.0,3763969.0,,95.83:131.92:94.99,57.16:58.19:51.67
F7-illpa_4,IMG_20180314_160625.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,758.0,2453.0,3073836.0,,99.5:134.07:104.29,53.44:51.88:47.9
F7-illpa_4,IMG_20180314_155323.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,728.0,2543.0,3276746.0,,140.92:82.13:90.73,55.98:53.62:50.34
F7-illpa_4,IMG_20180314_161051.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,700.0,2015.0,2000487.0,,112.28:142.74:114.82,45.88:39.14:42.43
F7-illpa_4,IMG_20180313_173246.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,570.0,2297.0,2098430.0,,100.11:101.64:101.33,47.9:47.99:45.89
F7-illpa_4,IMG_20180314_155101.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,862.0,2362.0,2741687.0,,127.92:104.95:106.74,63.57:62.14:55.25
F7-illpa_4,IMG_20180313_173510.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,434.0,2087.0,1426030.0,,95.58:104.7:94.72,40.61:39.28:39.67
F7-illpa_4,IMG_20180314_155308.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,1531.0,2503.0,4318261.0,,115.17:94.93:108.25,57.01:53.06:53.44
F7-illpa_4,IMG_20180314_155221.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,645.0,1736.0,1841327.0,,142.78:107.32:133.6,55.89:63.67:52.94
F7-illpa_4,IMG_20180314_154849.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,992.0,2560.0,3949164.0,,114.07:94.19:109.52,55.9:56.2:57.12
F7-illpa_4,IMG_20180313_174126.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,533.0,1540.0,768940.0,,113.44:75.52:108.76,40.93:42.69:40.91
F7-illpa_4,IMG_20180313_173542.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,556.0,2433.0,2153917.0,,98.67:73.41:73.76,35.48:35.67:35.34
F7-illpa_4,IMG_20180314_154832.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,608.0,2204.0,1787214.0,,118.25:111.04:123.89,55.03:50.56:53.76
F7-illpa_4,IMG_20180313_174148.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,764.0,2331.0,2355577.0,,94.49:99.07:109.08,45.09:44.43:46.26
F7-illpa_4,IMG_20180314_160608.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,702.0,2458.0,2733502.0,,99.22:126.54:82.04,54.98:54.0:46.82
F7-illpa_4,IMG_20180313_173102.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,601.0,2345.0,2588795.0,,122.85:122.61:121.69,42.73:38.74:41.12
F7-illpa_4,IMG_20180314_154953.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,530.0,2442.0,2192175.0,,119.19:97.48:93.78,57.91:57.76:51.26
F7-illpa_4,IMG_20180313_173359.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,795.0,2547.0,3208963.0,,115.74:118.2:113.2,49.48:47.18:47.24
F7-illpa_4,IMG_20180314_155447.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,746.0,2560.0,3292271.0,,138.64:106.69:114.83,55.75:59.05:52.08
F7-illpa_4,IMG_20180313_173346.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,670.0,2548.0,2516428.0,,116.62:120.98:119.1,46.29:45.47:45.08
F7-illpa_4,IMG_20180313_173233.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,668.0,2422.0,2645146.0,,111.84:120.95:114.96,41.89:38.39:42.08
F7-illpa_4,IMG_20180314_160644.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,640.0,2261.0,2129656.0,,98.31:134.13:112.15,50.18:48.56:46.79
F7-illpa_4,IMG_20180314_160247.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,831.0,2178.0,2982904.0,,92.27:115.69:77.17,57.93:57.52:47.28
F7-illpa_4,IMG_20180313_173639.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,358.0,2243.0,1122817.0,,108.01:84.39:97.24,40.2:39.37:39.72
F7-illpa_4,IMG_20180313_173809.jpg,NA,2560:1920,,,,,,,,,,,1.0,1.0,569.0,2528.0,2544373.0,,80.15:83.19:82.49,45.42:44.65:43.74
