folder,imgname,no_ruler_detected,no_panicles_detected
F8-illpa,PASxKCA 1_20190317_111144.jpg,x,
F8-illpa,COL_20190317_101605.jpg,x,
F8-illpa,COLxKCA 14_20190317_085150.jpg,x,
F8-illpa,HUAxKCA 194_20190317_075250.jpg,x,
F8-illpa,PASxKCA 42_20190317_083204.jpg,x,
F8-illpa,SALxPAN 165_20190317_080440.jpg,x,
F8-illpa,SALxCOL 30_20190317_093253.jpg,x,
F8-illpa,SALxCOL 37_20190317_110819.jpg,x,
F8-illpa,ATP_20190317_080137.jpg,x,
F8-illpa,SALxHUA 33_20190317_110247.jpg,x,
F8-illpa,SALxHUA 6_20190317_105652.jpg,x,
F8-illpa,SAL_20190317_075432.jpg,x,
F8-illpa,HUAxKCA 174_20190317_081441.jpg,x,
F8-illpa,PAN_20190317_095736.jpg,x,
F8-illpa,COLxKCA 114_20190317_110108.jpg,x,
F8-illpa,COLxKCA 29_20190317_103551.jpg,x,
F8-illpa,PAS_20190317_083608.jpg,x,
F8-illpa,PASxKCA 158_20190317_084250.jpg,x,
F8-illpa,KCA_20190317_093032.jpg,x,
F8-illpa,HUAxKCA 53_20190317_093733.jpg,x,
F8-illpa,HUA_20190317_075042.jpg,x,
F8-illpa,SALxHUA 195_20190317_090708.jpg,x,
F8-illpa,SALxPAN 58_20190317_082543.jpg,x,
F8-illpa,SALxPAN 171_20190317_081940.jpg,x,
