img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F8-illpa,PASxKCA 1_20190317_111144.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,628.0,2296.0,1793661.0,,168.91:136.98:157.06,31.75:26.59:25.99
F8-illpa,COL_20190317_101605.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,636.0,2178.0,1599606.0,,168.98:146.39:161.98,31.96:31.63:33.17
F8-illpa,COLxKCA 14_20190317_085150.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,523.0,2210.0,1577712.0,,183.77:164.43:165.84,47.65:43.01:43.98
F8-illpa,HUAxKCA 194_20190317_075250.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,676.0,2430.0,2102646.0,,169.84:129.21:125.19,33.5:29.63:31.25
F8-illpa,PASxKCA 42_20190317_083204.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,808.0,2321.0,2568402.0,,177.28:130.94:149.35,35.93:34.23:35.05
F8-illpa,SALxPAN 165_20190317_080440.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,737.0,2212.0,2173485.0,,151.88:146.51:136.63,41.41:28.24:36.28
F8-illpa,SALxCOL 30_20190317_093253.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,702.0,2459.0,2380734.0,,154.83:154.72:147.76,36.25:33.18:35.73
F8-illpa,SALxCOL 37_20190317_110819.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,856.0,2476.0,3150639.0,,150.84:153.02:149.9,36.99:30.11:30.3
F8-illpa,ATP_20190317_080137.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,763.0,2119.0,2211711.0,,165.63:163.68:156.31,37.63:33.88:35.05
F8-illpa,SALxHUA 33_20190317_110247.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,410.0,2291.0,1327491.0,,164.9:156.74:154.21,34.95:30.13:32.18
F8-illpa,SALxHUA 6_20190317_105652.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,642.0,2560.0,2258766.0,,171.34:169.12:153.42,38.31:32.69:34.68
F8-illpa,SAL_20190317_075432.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,639.0,2170.0,1732896.0,,164.82:159.01:144.98,39.6:34.14:35.02
F8-illpa,HUAxKCA 174_20190317_081441.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,580.0,2245.0,1484292.0,,185.62:141.56:154.95,38.8:31.86:33.31
F8-illpa,PAN_20190317_095736.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,878.0,2199.0,2483364.0,,153.4:138.39:145.73,37.96:36.42:37.45
F8-illpa,COLxKCA 114_20190317_110108.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,586.0,2469.0,2101620.0,,172.32:140.5:159.61,38.79:34.84:36.48
F8-illpa,COLxKCA 29_20190317_103551.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,528.0,2359.0,1768647.0,,171.9:147.94:160.14,35.08:27.27:30.89
F8-illpa,PAS_20190317_083608.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,1059.0,2377.0,3494436.0,,162.53:123.54:149.61,40.81:35.01:35.46
F8-illpa,PASxKCA 158_20190317_084250.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,630.0,2179.0,1626648.0,,164.5:130.86:143.82,38.49:27.67:31.51
F8-illpa,KCA_20190317_093032.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,674.0,2455.0,2469708.0,,184.18:147.95:165.09,35.86:33.06:34.9
F8-illpa,HUAxKCA 53_20190317_093733.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,615.0,2464.0,2047365.0,,160.87:146.15:138.87,32.48:28.07:29.19
F8-illpa,HUA_20190317_075042.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,552.0,2414.0,1862196.0,,171.56:126.65:133.36,34.92:31.19:33.57
F8-illpa,SALxHUA 195_20190317_090708.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,775.0,2412.0,2270256.0,,151.46:143.84:143.41,35.22:26.32:28.51
F8-illpa,SALxPAN 58_20190317_082543.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,571.0,2329.0,1634967.0,,175.69:139.09:139.84,38.27:37.34:36.17
F8-illpa,SALxPAN 171_20190317_081940.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,548.0,2265.0,1376652.0,,164.92:147.5:145.86,39.95:32.68:39.72
